Name,Lon,Lat,Glon,Glat,Gidx,Gjdx,Dist(km),VZA
OAS-SSA,-106.2,53.63,-106.21396320751394,53.643027384863245,1819,379,1.716341123964135,68.18
OBS-SSA,-105.12,53.985,-105.13292188581536,53.99611709105341,1854,368,1.4972320336479235,68.03
CANDLE_LAKE,-105.267,53.733,-105.24977241415174,53.72524799060839,1845,375,1.423852901616151,67.96
Paddockwood,-105.561817,53.507889,-105.5765053200413,53.51300837953612,1832,381,1.1257884973571133,67.99
Madison,-89.41,43.07,-89.4205856817673,43.07022687635106,2164,665,0.8602445018116309,52.17
Tuxtla_Gutierrez,-93.152222,16.754722,-93.14787989883969,16.75513391078659,1779,1815,0.46458555844264054,28.96
Tenosique,-91.425556,17.4875,-91.4353366276591,17.492435067320837,1867,1776,1.1734892872189437,28.24
Trinidad_Head,-124.15102,41.05392,-124.16753263490574,41.06757670572768,1058,811,2.0549315874138405,69.26
CARTEL,-71.93133,45.379754,-71.91838929200463,45.38332927496072,2825,581,1.0860644207652823,52.739998
Toronto,-79.47,43.79,-79.46387516152069,43.77644116275362,2542,634,1.5858256991390107,51.01
El_Refugio,-62.034722,-14.766388,-62.03663663696348,-14.771388033920141,3394,3509,0.5928676494098765,22.619999
SANTA_CRUZ,-63.177717,-17.802133,-63.17750043664938,-17.804508824497777,3324,3666,0.2651726801094296,24.56
Campo_Grande,-54.616667,-20.45,-54.60818344591992,-20.454395894457722,3726,3792,1.010021370436628,33.04
Uberlandia,-48.28333,-18.9,-48.283852071534,-18.892447900529056,4025,3707,0.841549317739615,37.28
Alianca,-47.533333,-14.733333,-47.54401401585353,-14.726093702925242,4092,3495,1.4026270282874147,35.79
CAMPO_VERDE,-55.175,-15.561667,-55.18191424650536,-15.555635813233435,3732,3545,0.9991628831395805,28.98
Pantanal,-56.621833,-16.3955,-56.628586837740336,-16.387871087853966,3657,3589,1.1129606040697602,28.33
Potosi_Mine,-62.863328,-9.23092,-62.87099156241228,-9.223455161912558,3367,3215,1.181724973877938,17.59
Repressa_Samuel,-63.459333,-8.755167,-63.45675029248159,-8.756458544052412,3337,3190,0.3181010287066019,16.72
Flor_De_Oro,-61.013889,-13.553056,-61.01200075819052,-13.55896449898775,3451,3445,0.6879716129541128,22.47
